Order,Family,Host,Hantavirus (Name in paper),Scientific Name,ICTV,NewOld,Year,Ssegment,Msegment,Lsegment,In Millholand review?,References
Rodentia,Cricetidae,Microtus californicus,Convict Creek,Orthohantavirus sinnombreense,Yes,new,1983,L33683.1,L33684.1,,Yes,"Song et al. (1995), Turell et al. (1995)"
Rodentia,Cricetidae,Peromyscus maniculatus,Convict Creek,Orthohantavirus sinnombreense,Yes,new,1983,L33683.1,L33684.1,,Yes,"Childs et al. (1994), Schmaljohn et al. (1995), Rawlings et al. (1996), Song et al. (1996), Drebot et al. (2001), Sinclair et al. (2007)"
Rodentia,Sciuridae,Tamias minimus,Convict Creek,Orthohantavirus sinnombreense,Yes,new,1983,L33683.1,L33684.1,,Yes,Turell et al. (1995)
Rodentia,Muridae,Niviventer confucianus,Da Bie Shan ,Orthohantavirus dabieshanense,Yes,old,2008,JF796043.1,JF796036.1,JF796022.1,Yes,Wang et al. (2000)
Rodentia,Muridae,Apodemus agrarius,Dobrava-Belgrade,Orthohantavirus dobravaense,Yes,old,1999,AJ410615.1,AJ410616.1,AJ410617.1,Yes,"Lee et al. (1978, 1982a, b), Plyusnin et al. (1997, 2003), Nemirov et al. (1999), Klempa et al. (2003b), Sironen et al. (2005), Plyusnin et al. (2006), Jakab et al. (2007), Li et al. (2007), Schlegel et al. (2009), Liu et al. (2012), Klempa et al. (2013)"
Rodentia,Muridae,Apodemus flavicollis,Dobrava-Belgrade,Orthohantavirus dobravaense,Yes,old,1999,AJ410615.1,AJ410616.1,AJ410617.1,Yes,"Avšić-Županc et al. (1992), Klempa et al. (2003b), Jakab et al. (2007), Schlegel et al. (2009), Schmidt et al. (2014)"
Rodentia,Muridae,Apodemus ponticus,Dobrava-Belgrade ,Orthohantavirus dobravaense,Yes,old,1999,AJ410615.1,AJ410616.1,AJ410617.1,Yes,"Klempa et al. (2008), Dzagurova et al. (2012)"
Rodentia,Muridae,Apodemus sylvaticus,Dobrava-Belgrade,Orthohantavirus dobravaense,Yes,old,1999,AJ410615.1,AJ410616.1,AJ410617.1,Yes,Weidmann et al. (2005)
Rodentia,Muridae,Mus musculus,Dobrava-Belgrade,Orthohantavirus dobravaense,Yes,old,1999,AJ410615.1,AJ410616.1,AJ410617.1,Yes,"Baek et al. (1988), Arthur et al. (1992) Childs et al. (1994), Weidmann et al. (2005), Jiang et al. (2008)"
Rodentia,Cricetidae,Microtus montanus,El Moro Canyon,Orthohantavirus moroense,No,new,1994,U11427.1,U26828.1,,Yes,Rowe et al. (1995)
