Order,Family,Host,Hantavirus (Name in paper),Scientific Name,ICTV,NewOld,Year,Ssegment,Msegment,Lsegment,In Millholand review?,References
Rodentia,Cricetidae,Reithrodontomys sumichrasti, Rio Segundo,other orthohantavirus,No,new,1989,U18100.1,,,Yes,"Salazar-Bravo et al. (2004), Kariwa et al. (2012)"
Rodentia,Cricetidae,Sigmodon hirsutus,S. hirsutus-associated hantavirus,other orthohantavirus,No,new,,,,,Yes,"Armie ´n et al. (2009), Luis et al. (2010)"
Rodentia,Muridae,Apodemus agrarius, Saaremaa ,Orthohantavirus dobravaense,No,old,2000,AJ616854.1,GQ303581.1,AJ410618.2,Yes,"Lee et al. (1978, 1982a, b), Plyusnin et al. (1997, 2003), Nemirov et al. (1999), Klempa et al. (2003b), Sironen et al. (2005), Plyusnin et al. (2006), Jakab et al. (2007), Li et al. (2007), Schlegel et al. (2009), Liu et al. (2012), Klempa et al. (2013)"
Rodentia,Muridae,Hylomyscus alleni,Sangassou,Orthohantavirus sangassouense,Yes,new,2004,JQ082300.1,JQ082301.1,JQ082302.1,Yes,"Klempa et al. (2006), (2012)"
Rodentia,Cricetidae,Cricetulus barabensis,Seoul,Orthohantavirus seoulense,Yes,old,2003,AY273791.1,S47716.1,X56492.1,Yes,"Wang et al. (2000), Li et al. (2007)"
Rodentia,Cricetidae,Cricetulus barabensis,Seoul-like,Orthohantavirus seoulense,Yes,old,,AY273791.1,S47716.1,X56492.1,Yes,"Wang et al. (2000), Li et al. (2007)"
Rodentia,Muridae,Apodemus agrarius, Seoul,Orthohantavirus seoulense,Yes,old,2003,AY273791.1,S47716.1,X56492.1,Yes,"Lee et al. (1978, 1982a, b), Plyusnin et al. (1997, 2003), Nemirov et al. (1999), Klempa et al. (2003b), Sironen et al. (2005), Plyusnin et al. (2006), Jakab et al. (2007), Li et al. (2007), Schlegel et al. (2009), Liu et al. (2012), Klempa et al. (2013)"
Rodentia,Muridae,Mus musculus, Seoul ,Orthohantavirus seoulense,Yes,old,2003,AY273791.1,S47716.1,X56492.1,Yes,"Baek et al. (1988), Arthur et al. (1992) Childs et al. (1994), Weidmann et al. (2005), Jiang et al. (2008)"
Rodentia,Muridae,Rattus argentiventer,Seoul,Orthohantavirus seoulense,Yes,old,2003,AY273791.1,S47716.1,X56492.1,Yes,"Huong et al. (2010), Cuong et al. (2015)"
Rodentia,Muridae,Rattus losea,Seoul,Orthohantavirus seoulense,Yes,old,2003,AY273791.1,S47716.1,X56492.1,Yes,"Elwell et al. (1985), Zhang et al. (2010)"
Rodentia,Muridae,Rattus norvegicus, Seoul ,Orthohantavirus seoulense,Yes,old,2003,AY273791.1,S47716.1,X56492.1,Yes,"Lee et al. (1982a, b, c), Tsai et al. (1985), Reynes et al. (2003), Heyman et al. (2004, 2009) Plyusnina et al. (2004), Fernández et al. (2008), Luis et al. (2010), Luan et al. (2012), Jameson et al. (2013), Cross et al. (2014), Dupinay et al. (2014), Verner-Carlsson et al. (2015)"
Rodentia,Muridae,Rattus rattus, Seoul ,Orthohantavirus seoulense,Yes,old,2003,AY273791.1,S47716.1,X56492.1,Yes,"Elwell et al. (1985) Wang et al. (2000), Reynes et al. (2003, 2014), Medina et al. (2009), Johansson et al. (2010), Luis et al. (2010), Zhang et al. (2007), (2010)"
Rodentia,Muridae,Rattus tanezumi, Seoul,Orthohantavirus seoulense,Yes,old,2003,AY273791.1,S47716.1,X56492.1,Yes,"Chin et al. (2000)m, Plyusnina et al. (2009b), Johansson et al. (2010), Blasdell et al. (2011)"
Rodentia,Muridae,Rattus tanezumi, Serang ,Orthohantavirus thailandense,Yes,old,2008,AM998808.2,AM998807.1,AM998806.1,Yes,"Chin et al. (2000)m, Plyusnina et al. (2009b), Johansson et al. (2010), Blasdell et al. (2011)"
Rodentia,Cricetidae,Neotoma lepida,Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,Dearing et al. (1998)
Rodentia,Cricetidae,Peromyscus boylii, Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,"Childs et al. (1994), Sanchez et al. (2001)"
Rodentia,Cricetidae,Peromyscus californicus, Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,"Song et al. (1995), Luis et al. (2010)"
Rodentia,Cricetidae,Peromyscus eremicus,Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,Milazzo et al. (2012)
Rodentia,Cricetidae,Peromyscus leucopus, Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,"Hjelle et al. (1995c), Morzunov et al. (1998), Rhodes et al. (2000), Kariwa et al. (2007), Milazzo et al. (2012)"
Rodentia,Cricetidae,Peromyscus maniculatus, Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,"Childs et al. (1994), Schmaljohn et al. (1995), Rawlings et al. (1996), Song et al. (1996), Drebot et al. (2001), Sinclair et al. (2007)"
Rodentia,Cricetidae,Peromyscus truei, Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,"Childs et al. (1994), Hjelle et al. (1996)"
Rodentia,Cricetidae,Reithrodontomys megalotis, Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,"Hjelle et al. (1994, 1995a), Kariwa et al. (2012)"
Rodentia,Muridae,Mus musculus, Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,"Baek et al. (1988), Arthur et al. (1992) Childs et al. (1994), Weidmann et al. (2005), Jiang et al. (2008)"
Rodentia,Sciuridae,Tamias dorsalis, Sin Nombre,Orthohantavirus sinnombreense,Yes,new,1994,L25784.1,L25783.1,L37901.1,Yes,Childs et al. (1994)
Rodentia,Muridae,Apodemus ponticus, Sochi,Orthohantavirus dobravaense,No,old,2000,EU188449.1,EU188450.1,JF920148.1,Yes,"Klempa et al. (2008), Dzagurova et al. (2012)"
Rodentia,Muridae,Apodemus peninsulae, Soochong,Orthohantavirus hantanense,No,old,1997,AY675350.1,DQ056293.1,AY675354.1,Yes,"Yashina et al. (2000, 2001), Baek et al. (2006), Jiang et al. (2007)"
Rodentia,Muridae,Rattus norvegicus,Tchoupitoulas,Orthohantavirus seoulense,No,old,1985,AF329389.1,,,Yes,"Lee et al. (1982a, b, c), Tsai et al. (1985), Reynes et al. (2003), Heyman et al. (2004, 2009) Plyusnina et al. (2004), Fernández et al. (2008), Luis et al. (2010), Luan et al. (2012), Jameson et al. (2013), Cross et al. (2014), Dupinay et al. (2014), Verner-Carlsson et al. (2015)"
Rodentia,Muridae,Bandicota indica,Thailand,Orthohantavirus thailandense,Yes,old,2015,MZ343360.1,MZ343361.1,MZ343362.1,Yes,"Elwell et al. (1985), Xiao et al. (1994)"
Rodentia,Muridae,Rattus rattus,Thailand,Orthohantavirus thailandense,Yes,old,2015,MZ343360.1,MZ343361.1,MZ343362.1,Yes,"Elwell et al. (1985) Wang et al. (2000), Reynes et al. (2003, 2014), Medina et al. (2009), Johansson et al. (2010), Luis et al. (2010), Zhang et al. (2007), (2010)"
Rodentia,Muridae,Stenocephalemys albipes,Tigray,Orthohantavirus tigrayense,Yes,old,2010,KU934010.1,KU934009.1,KU934008.1,Yes,Meheretu et al. (2012)
Rodentia,Cricetidae,Lemmus sibiricus,Topografov,Orthohantavirus khabarovskense,Yes,old,1994,AJ011646.1,AJ011647.1,AJ011649.1,Yes,Vapalahti et al. (1999)
Rodentia,Cricetidae,Lagurus lagurus,Tula,Orthohantavirus tulaense,Yes,old,,Z49915.1,Z69993.1,AJ005637.1,Yes,"Plyusnina et al. (2008a, b)"
Rodentia,Cricetidae,Microtus agrestis,Tula,Orthohantavirus tulaense,Yes,old,,Z49915.1,Z69993.1,AJ005637.1,Yes,"Scharninghausen et al. (2002), Schmidt-Chanasit et al. (2010)"
Rodentia,Cricetidae,Microtus arvalis,Tula,Orthohantavirus tulaense,Yes,old,,Z49915.1,Z69993.1,AJ005637.1,Yes,"Plyusnin et al. (1994, 1995), Sibold et al. (1995), Heyman et al. (2002), Klempa et al. (2003a), Scharninghausen et al. (2002), Song et al. (2004), Plyusnina et al. (2008a), Reusken et al. (2008), Schmidt et al. (2014)"
Rodentia,Cricetidae,Microtus arvalis, Tula-Malacky,Orthohantavirus tulaense,Yes,old,,Z49915.2,Z69993.2,AJ005637.2,Yes,"Plyusnin et al. (1994, 1995), Sibold et al. (1995), Heyman et al. (2002), Klempa et al. (2003a), Scharninghausen et al. (2002), Song et al. (2004), Plyusnina et al. (2008a), Reusken et al. (2008), Schmidt et al. (2014)"
Rodentia,Cricetidae,Microtus gregalis,Tula,Orthohantavirus tulaense,Yes,old,,Z49915.1,Z69993.1,AJ005637.1,Yes,Plyusnina et al. (2008a)
Rodentia,Cricetidae,Microtus levis,Tula,Orthohantavirus tulaense,Yes,old,,Z49915.1,Z69993.1,AJ005637.1,Yes,Plyusnin et al. (1994)
Rodentia,Cricetidae,Microtus subterraneus,Tula,Orthohantavirus tulaense,Yes,old,,Z49915.1,Z69993.1,AJ005637.1,Yes,Song et al. (2002)
Rodentia,Cricetidae,Microtus fortis, Vladivostok ,Orthohantavirus khabarovskense,Yes,old,1995,AB011630.1,,,Yes,"Hörling et al. (1996), Kariwa et al. (1999), Zou et al. (2008)"
Rodentia,Cricetidae,Microtus fortis, Yuanjiang,other orthohantavirus,No,old,,,KJ857333.1,KJ857316.1,Yes,"Hörling et al. (1996), Kariwa et al. (1999), Zou et al. (2008)"
Eulipotyphla,Talpidae,Talpa europaea,Bruges,Orthohantavirus brugesense,Yes,old,2013,KX551960.1,KX551961.1,KX551962.1,No,Laenen et al. 2017 
Eulipotyphla,Soricidae,Sorex araneus,Altai ,other orthohantavirus,No,old,2018,MK340902.1,MK340903.1,MT648514.1,Yes,"Song et al. (2007b), Kang et al. (2009b, c),Yashina et al. (2010), Schlegel et al. (2012), Weiss et al. (2012), Gu et al. (2013a)"
Eulipotyphla,Soricidae,Sorex caecutiens,Amga,other orthohantavirus,No,old,2010,,KF974359.1,KF974360.1,Yes,"Weiss et al. (2012), Yanagihara et al. (2014)"
Eulipotyphla,Soricidae,Sorex caecutiens, Artybash ,Orthohantavirus artybashense,Yes,old,2007,MN815798.1,EU424340.2,EU424339.1,Yes,"Weiss et al. (2012), Yanagihara et al. (2014)"
Eulipotyphla,Talpidae,Urotrichus talpoides,Asama,Orthohantavirus asamaense,Yes,old,2008,EU929072.1,EU929075.1,,Yes,Arai et al. (2008b)
Eulipotyphla,Soricidae,Sorex cinereus,Ash River,other orthohantavirus,No,new,1983,KY962807.1,KY962808.1,,Yes,Aria et al. (2008a)
Eulipotyphla,Soricidae,Sorex minutus,Asikkala ,Orthohantavirus asikkalaense,Yes,old,2010,KC880341.1,KC880344.1,KC880347.1,Yes,"Heyman et al. (2011a), Schlegel et al. (2012), Gu et al. (2013a), Radosa et al. (2013)"
Eulipotyphla,Soricidae,Crocidura obscurior,Azagny,other orthohantavirus,No,old,2009,JF276226.1,JF276227.1,JF276228.1,Yes,Kang et al. (2011b)
Eulipotyphla,Soricidae,Neomys fodiens,Boginia ,other orthohantavirus,No,old,2010,,JX990966.1,JX990965.1,Yes,"Heyman et al. (2011b), Gu et al. (2013a)"
Eulipotyphla,Soricidae,Crocidura douceti,Bowe,Orthohantavirus boweense,Yes,old,2012,KC631782.1,KC631783.1,KC631784.1,Yes,Gu et al. (2013b)
Eulipotyphla,Soricidae,Blarina brevicauda,Camp Ripley,other orthohantavirus,No,new,1982,KF958463.1,KF958467.1,KF958465.1,Yes,Arai et al. (2007)
Eulipotyphla,Soricidae,Anourosorex squamipes,Cao Bang ,Orthohantavirus caobangense,Yes,old,2006,EF543524.1,EF543526.1,EF543525.2,Yes,"Guo et al. (2013), Song et al. (2007c)"
Eulipotyphla,Talpidae,Scaptonyx fusicaudus,Dahonggou Creek,other orthohantavirus,No,old,1989,,,HQ616595.2,Yes,Yanagihara et al. (2014)
Eulipotyphla,Soricidae,Sorex palustris,Fox Creek,other orthohantavirus,No,new,,,,,Yes,"Arai et al. (2007), Kang et al. (2009b)"
Eulipotyphla,Soricidae,Blarina carolinensis,Iamonia,other orthohantavirus,No,new,,,,,Yes,Arai et al. (2007)
Eulipotyphla,Soricidae,Crocidura shantungensis,Jeju,Orthohantavirus jejuense,Yes,old,2010,HQ834695.1,HQ834696.1,HQ834697.1,Yes,Arai et al. (2012)
Eulipotyphla,Soricidae,Sorex monticolus,Jemez Springs,other orthohantavirus,No,new,2005,FJ686862.1,MK992753.1,FJ593501.1,Yes,Arai et al. (2008a)
Eulipotyphla,Soricidae,Sorex roboratus,Kenkeme,Orthohantavirus kenkemeense,Yes,old,2011,KJ857341.1,KJ857337.1,KJ857320.1,Yes,Kang et al. (2010)
Eulipotyphla,Soricidae,Myosorex geata,Tanzania,other orthohantavirus,No,old,,JX193698.1,JX193699.1,JX193700.1,Yes,Yanagihara et al. (2014)
Eulipotyphla,Soricidae,Myosorex zinki,Tanzania,other orthohantavirus,No,old,,JX193698.1,JX193699.1,JX193700.1,Yes,Yanagihara et al. (2014)
Eulipotyphla,Soricidae,Neomys fodiens, Laihia,Orthohantavirus seewisense,No,old,2005,KJ136611.1,,,Yes,"Heyman et al. (2011b), Gu et al. (2013a)"
Eulipotyphla,Soricidae,Anourosorex squamipes, Lianghe,Orthohantavirus caobangense,Yes,old,2011,JX465411.1,JX465395.1,JX465377.1,Yes,"Guo et al. (2013), Song et al. (2007c)"
Eulipotyphla,Talpidae,Neurotrichus gibbsii,Oxbow,Orthohantavirus oxbowense,No,new,2003,FJ539166.1,FJ539167.1,FJ593497.1,Yes,Kang et al. (2009a)
Eulipotyphla,Soricidae,Sorex cylindricauda,Quiandao Lake ,other orthohantavirus,No,old,2005,GU566023.1,GU566022.1,GU566021.1,Yes,"Yanagihara et al. (2014), Zuo et al. (2014)"
Eulipotyphla,Talpidae,Scalopus aquaticus,Rockport,Orthohantavirus rockportense,Yes,new,1986,HM015223.1,HM015219.1,HM015221.1,Yes,Kang et al. (2011a)
Eulipotyphla,Soricidae,Sorex unguiculatus,Sarufutsu,other orthohantavirus,No,old,2006,KF700097.1,,,Yes,Yanagihara et al. (2014)
Eulipotyphla,Soricidae,Sorex araneus, Seewis,Orthohantavirus seewisense,No,old,2006,EF636024.1,KY651022.1,EF636026.1,Yes,"Song et al. (2007b), Kang et al. (2009b, c),Yashina et al. (2010), Schlegel et al. (2012), Weiss et al. (2012), Gu et al. (2013a)"
Eulipotyphla,Soricidae,Sorex daphaenodon,Seewis,Orthohantavirus seewisense,No,old,2006,EF636024.1,KY651022.1,EF636026.1,Yes,Yashina et al. (2010)
Eulipotyphla,Soricidae,Sorex minutus, Seewis,Orthohantavirus seewisense,No,old,2006,EF636024.1,KY651022.1,EF636026.1,Yes,"Heyman et al. (2011a), Schlegel et al. (2012), Gu et al. (2013a), Radosa et al. (2013)"
Eulipotyphla,Soricidae,Sorex tundrensis,Seewis,Orthohantavirus seewisense,No,old,2006,EF636024.1,KY651022.1,EF636026.1,Yes,Yashina et al. (2010)
Eulipotyphla,Soricidae,Crocidura theresae,Tanganya,other orthohantavirus,No,old,2000,EF050455.1,,EF050454.1,Yes,Klempa et al. (2007)
Eulipotyphla,Soricidae,Anourosorex yamashinai,Xinyi,other orthohantavirus,No,old,1989,KT901298.1,KT901297.1,KF705679.1,Yes,Yanagihara et al. (2014)
Eulipotyphla,Soricidae,Sorex isodon,Yakeshi,Orthohantavirus yakeshiense,No,old,2006,JX465423.1,JX465403.1,,Yes,Guo et al. (2013)
